Study_Area,Dist_Developed_Open,Dist_Developed_Low,Dist_Developed_Medium,Dist_Developed_High,Dist_Cover,Dist_Primary_Roads,Dist_Secondary_Roads,Dist_Local_Roads,Dist_Four_Wheel_Roads,Farm_Density,Mean_Percent_Pro_Enviro,Mean_Income,Group_Population_Density
ACR,-0.2601094778595114,-0.2903021072238655,-0.339566536916496,-0.36062145306364396,-0.0200734784709331,-0.1655056006117576,-0.2153160873512725,-0.12977990892355237,1.3083418354527245,1.8318270551653775,0.38337768047974885,-0.007702912427863426,0.004465284974670929
Central_Coast,0.17890622815389448,0.16075687296701613,0.3172031569364164,0.17555296546510996,0.058469326073230916,0.39336677741035203,1.0558982176883602,-0.10369607786030086,-0.00946611378376528,-0.13797649438190762,0.250610748817429,-0.30258544627644146,-0.22133267866719755
Eastern_Sierra,0.6594897335066613,0.4434489966987239,0.37725908925345414,0.2710551005007064,0.022017951314002932,0.6334120149117797,0.07810914004615285,0.35556202503379714,-0.2553225499642985,-0.47847487444544645,-0.2824054672894189,-0.3189540389572244,-0.23588441082752545
EP,-0.06462361717463495,-0.028499832436203274,0.18825354721559662,0.36455132836437365,0.26171941555514816,0.22941675597574065,-0.10637420284878553,0.19117807728457442,-0.017549859462970507,0.08142295716041004,-0.10394650920959536,-0.32323695519215667,-0.20563843160772427
Hoopa,-0.18780344837130275,-0.1901816450442841,-0.23646765835667913,-0.23706276711002047,-0.04783698710321918,0.6333606503882048,0.3457022681815115,0.20497766512099355,-0.021622081354259977,-0.24791213079485502,-0.22458408396328094,-0.49519568093163735,-0.22940718192577972
LA,-0.23001385806398417,-0.2597790021977166,-0.26668325476196714,-0.2944650182983996,0.022248781344619797,-0.4495188678575181,-0.19382181572814658,-0.11447059261375216,-0.06908195691986205,-0.18716525009143462,0.0726008342130327,0.47525892889193405,0.2819989902372141
Mendocino,-0.24008723530855122,-0.1059339021476296,0.05660121408841428,0.351391128280519,-0.10770020613870004,0.6334122069183749,1.5863926517631202,0.028245939949501156,-0.4427314325651346,0.010116157300519117,-0.19526928799256832,-0.44743893827112236,-0.23796861936784583
Modoc,0.7560978153126291,0.9468515045682074,0.9107138680572558,0.6890677142292909,-0.08374167615780415,0.6334122069183749,0.43203019919533586,0.06309702009669854,-0.2094646105542811,-0.4065001920358578,-1.2884993676175605,-0.44865689940305886,-0.23655460973116393
Peninsular,-0.30275244354486264,-0.22258913188699309,-0.13717470474909108,-0.08838314645201659,-0.0897608524646383,0.4457041105349955,-0.3319108371106162,-0.10415321457622224,0.19451486636900223,0.05934173826822713,-0.09443650264469258,-0.3580046955665888,-0.1990394450931666
Plumas,0.19542967006451714,0.1971146898543152,0.1709181223480395,0.33069434319903074,-0.12716398875108945,0.6334122069183749,0.9344429447574172,-0.12728268964570486,0.10390589149091757,-0.41510584632210573,-0.8083981274533234,-0.44341625350717995,-0.23462484553303767
Sacramento_Valley,0.0912463621105994,0.04077665038898509,-0.04458517572275116,-0.25855755611706754,2.0571990481961837,0.10301633655807238,0.20780394009051104,-0.08507405891712827,1.7418844032152514,0.47676333918754943,-0.6903045675380891,-0.3176016010964676,-0.2028454389592313
Santa_Ana,-0.1440144709418664,-0.19699016499484573,-0.1713957288053246,-0.20097948925730313,0.11302422788585226,-0.4583622681402827,-0.07359868692433874,0.04607486029900018,-0.3070944824665732,-0.029477008995565365,-0.3832719003392317,-0.004778477569732363,0.23152929143421955
Santa_Cruz,-0.2042311278964587,-0.14590249233105657,-0.1777370773935694,-0.1510718765975135,-0.1066258191668314,-0.23650900663341187,-0.1785440503665944,-0.10970752543820451,0.06855112287040291,0.23910051245139521,0.5653008127643695,0.14558881932180603,0.048589414778689215
Sierra_Foothills,0.026065995115960142,0.098080443337932,0.16660035299271325,0.10880990357711076,-0.1240898313177727,0.026650940338164772,0.10249613284632506,-0.1803611436876807,-0.03398398343259183,0.8511110861013091,-0.5987529246507407,-0.3250593913626863,-0.16722151218065887
Siskiyou,0.35554285779327016,0.4147241440283433,0.3210087421784601,0.49665763439035193,-0.07206531705555091,0.5989130812432697,0.6723683001616126,-0.12013469160656753,0.5110444838979791,-0.3178037975673956,-0.8522601572539935,-0.4722003080059706,-0.23401279782088094
Southern_Sierra,0.06577735354679728,0.6818922226634384,0.5068436508231633,0.5531419201480903,-0.134193842826669,0.6334122069183749,0.31100769661790134,-0.06840744153811941,-0.08518487350133962,-0.21435291108427226,-0.3955925391312918,-0.29063845236698743,-0.2313568225010448
Transverse_Range,-0.10337614935170943,-0.14148591342403935,-0.08015881813636334,-0.12064513913585312,-0.0558361609316609,0.5028211978329368,-0.17317797663954695,0.07896926989565652,-0.1930234506220217,-0.42989358210360434,-0.48843814809467523,-0.3836987865184341,-0.2035927857283301
